Categoria;Titular;Fuente
Nacional;Bolivia excluyó deuda histórica y busca un tratado con Chile;https://www.paginasiete.bo/nacional/2022/4/4/bolivia-excluyo-deuda-historica-busca-un-tratado-con-chile-327651.html
Nacional;Tecnócrata: ven que Arce construye su liderazgo marcando diferencia con Evo;https://www.paginasiete.bo/nacional/2022/4/4/tecnocrata-ven-que-arce-construye-su-liderazgo-marcando-diferencia-con-evo-327661.html
Nacional;Contramemoria: «La canalización se hizo para asegurar más agua»;https://www.paginasiete.bo/nacional/2022/4/4/contramemoria-la-canalizacion-se-hizo-para-asegurar-mas-agua-327652.html
Nacional;Cabrera: La ALP no tiene derecho a equivocarse;https://www.paginasiete.bo/nacional/2022/4/4/cabrera-la-alp-no-tiene-derecho-equivocarse-327660.html
Nacional;Rodríguez: Pedí, sin éxito, que Añez y Arce transparenten alcances del proceso del Silala;https://www.paginasiete.bo/nacional/2022/4/3/rodriguez-pedi-sin-exito-que-anez-arce-transparenten-alcances-del-proceso-del-silala-327582.html
Nacional;Bolivia inicia mañana alegatos en La Haya y espera fallo «equilibrado» en noviembre;https://www.paginasiete.bo/nacional/2022/4/3/bolivia-inicia-manana-alegatos-en-la-haya-espera-fallo-equilibrado-en-noviembre-327605.html
Nacional;Abogados y activistas entre los postulantes a defensor;https://www.paginasiete.bo/nacional/2022/4/3/abogados-activistas-entre-los-postulantes-defensor-327591.html
Nacional;Oropeza: «¿Si el agua fluye, por qué solicitaron la concesión?»;https://www.paginasiete.bo/nacional/2022/4/3/oropeza-si-el-agua-fluye-por-que-solicitaron-la-concesion-327581.html
Nacional;Contraloría halla 109 observaciones al Órgano Judicial que urgen a la reforma;https://www.paginasiete.bo/nacional/2022/4/3/contraloria-halla-109-observaciones-al-organo-judicial-que-urgen-la-reforma-327583.html
Nacional;Huevos de moscas: el alegato de Chile sobre edificación de canales en el Silala;https://www.paginasiete.bo/nacional/2022/4/3/huevos-de-moscas-el-alegato-de-chile-sobre-edificacion-de-canales-en-el-silala-327580.html
Nacional;Victor Hugo Chávez: «La contrademanda del Silala es una chambonada, se debe ir al arbitraje»;https://www.paginasiete.bo/nacional/2022/4/3/victor-hugo-chavez-la-contrademanda-del-silala-es-una-chambonada-se-debe-ir-al-arbitraje-327571.html
Nacional;Arce y Choquehuanca piden unidad en congreso campesino paceño;https://www.paginasiete.bo/nacional/2022/4/3/arce-choquehuanca-piden-unidad-en-congreso-campesino-paceno-327595.html
Nacional;Jaime Paz Zamora es internado, pero se encuentra «en franca recuperación»;https://www.paginasiete.bo/nacional/2022/4/2/jaime-paz-zamora-es-internado-pero-se-encuentra-en-franca-recuperacion-327554.html
Nacional;Conocidos y polémicos, hay 19 aspirantes a Defensor que repiten postulación;https://www.paginasiete.bo/nacional/2022/4/2/conocidos-polemicos-hay-19-aspirantes-defensor-que-repiten-postulacion-327538.html
Nacional;Bolivia: El Silala es un curso de agua internacional artificialmente mejorado;https://www.paginasiete.bo/nacional/2022/4/2/bolivia-el-silala-es-un-curso-de-agua-internacional-artificialmente-mejorado-327501.html
Nacional;Chile reconoce que hay canales y dice no oponerse a que Bolivia los desmantele;https://www.paginasiete.bo/nacional/2022/4/2/chile-reconoce-que-hay-canales-dice-no-oponerse-que-bolivia-los-desmantele-327502.html
Nacional;"198 postulantes para Defensor; Galindo declina y critican a Cruz";https://www.paginasiete.bo/nacional/2022/4/2/198-postulantes-para-defensor-galindo-declina-critican-cruz-327518.html
Nacional;Escritora interrumpe sesión de honor en Potosí: «El Gobierno de Evo Morales entregó el Silala»;https://www.paginasiete.bo/nacional/2022/4/1/escritora-interrumpe-sesion-de-honor-en-potosi-el-gobierno-de-evo-morales-entrego-el-silala-327472.html
Nacional;HRW ve alineamiento de Bolivia con «regímenes autoritarios» tras nueva votación en la ONU;https://www.paginasiete.bo/nacional/2022/4/1/hrw-ve-alineamiento-de-bolivia-con-regimenes-autoritarios-tras-nueva-votacion-en-la-onu-327464.html
Nacional;Cierra el plazo: 198 personas postularon para defensor del Pueblo;https://www.paginasiete.bo/nacional/2022/4/1/cierra-el-plazo-198-personas-postularon-para-defensor-del-pueblo-327458.html
Nacional;Fiscalía reabre caso por enriquecimiento ilícito contra el gobernador Montes y su familia;https://www.paginasiete.bo/nacional/2022/4/1/fiscalia-reabre-caso-por-enriquecimiento-ilicito-contra-el-gobernador-montes-su-familia-327465.html
Nacional;"Lima niega ser parte de un consorcio de abogados; oposición pedirá informe";https://www.paginasiete.bo/nacional/2022/4/1/lima-niega-ser-parte-de-un-consorcio-de-abogados-oposicion-pedira-informe-327460.html
Nacional;Bolivia dice que pidió a la CIJ que se levante la reserva de pruebas en la disputa con Chile;https://www.paginasiete.bo/nacional/2022/4/1/bolivia-dice-que-pidio-la-cij-que-se-levante-la-reserva-de-pruebas-en-la-disputa-con-chile-327456.html
Nacional;Núñez: Copa evidencia que Quintana dirigió las protestas de Senkata en 2019;https://www.paginasiete.bo/nacional/2022/4/1/nunez-copa-evidencia-que-quintana-dirigio-las-protestas-de-senkata-en-2019-327449.html
